Position,Team,Played Games,Won,Draw,Lost,Points,Goals For,Goals Against
1,FC Bayern München,20,16,3,1,51,62,19
2,Bayer 04 Leverkusen,20,13,6,1,45,49,27
3,Eintracht Frankfurt,20,11,5,4,38,45,27
4,RB Leipzig,20,9,6,5,33,34,29
5,VfB Stuttgart,20,9,5,6,32,37,30
6,1. FSV Mainz 05,20,9,4,7,31,33,24
7,Borussia Mönchengladbach,20,9,3,8,30,32,30
8,SV Werder Bremen,20,8,6,6,30,34,36
9,SC Freiburg,20,9,3,8,30,27,36
10,VfL Wolfsburg,20,8,5,7,29,43,35
11,Borussia Dortmund,20,8,5,7,29,36,34
12,FC Augsburg,20,7,5,8,26,24,35
13,FC St. Pauli 1910,20,6,3,11,21,18,22
14,1. FC Union Berlin,20,5,6,9,21,16,27
15,TSG 1899 Hoffenheim,20,4,6,10,18,26,40
16,1. FC Heidenheim 1846,20,4,2,14,14,25,42
17,Holstein Kiel,20,3,3,14,12,31,52
18,VfL Bochum 1848,20,2,4,14,10,17,44
