Position,Team,Played Games,Won,Draw,Lost,Points,Goals For,Goals Against
1,Real Madrid CF,22,15,4,3,49,50,21
2,Club Atlético de Madrid,22,14,6,2,48,37,14
3,FC Barcelona,22,14,3,5,45,60,24
4,Athletic Club,22,11,8,3,41,33,20
5,Villarreal CF,22,10,7,5,37,44,33
6,Rayo Vallecano de Madrid,22,8,8,6,32,26,24
7,Girona FC,22,9,4,9,31,31,30
8,CA Osasuna,22,7,9,6,30,27,31
9,RCD Mallorca,22,9,3,10,30,19,28
10,Real Betis Balompié,22,7,8,7,29,25,28
11,Real Sociedad de Fútbol,22,8,4,10,28,18,19
12,Sevilla FC,22,7,7,8,28,24,30
13,RC Celta de Vigo,22,7,4,11,25,31,35
14,Getafe CF,22,5,9,8,24,17,17
15,UD Las Palmas,22,6,5,11,23,27,36
16,CD Leganés,22,5,8,9,23,19,30
17,RCD Espanyol de Barcelona,22,6,5,11,23,21,33
18,Deportivo Alavés,22,5,6,11,21,25,34
19,Valencia CF,22,4,7,11,19,22,37
20,Real Valladolid CF,22,4,3,15,15,15,47
