Position,Team,Played Games,Won,Draw,Lost,Points,Goals For,Goals Against
1,Liverpool FC,23,17,5,1,56,56,21
2,Arsenal FC,24,14,8,2,50,49,22
3,Nottingham Forest FC,24,14,5,5,47,40,27
4,Chelsea FC,24,12,7,5,43,47,31
5,Manchester City FC,24,12,5,7,41,48,35
6,Newcastle United FC,24,12,5,7,41,42,29
7,AFC Bournemouth,24,11,7,6,40,41,28
8,Aston Villa FC,24,10,7,7,37,34,37
9,Fulham FC,24,9,9,6,36,36,32
10,Brighton & Hove Albion FC,24,8,10,6,34,35,38
11,Brentford FC,24,9,4,11,31,42,42
12,Crystal Palace FC,24,7,9,8,30,28,30
13,Manchester United FC,24,8,5,11,29,28,34
14,Tottenham Hotspur FC,24,8,3,13,27,48,37
15,West Ham United FC,24,7,6,11,27,29,46
16,Everton FC,23,6,8,9,26,23,28
17,Wolverhampton Wanderers FC,24,5,4,15,19,34,52
18,Leicester City FC,24,4,5,15,17,25,53
19,Ipswich Town FC,24,3,7,14,16,22,49
20,Southampton FC,24,2,3,19,9,18,54
