Position,Team,Played Games,Won,Draw,Lost,Points,Goals For,Goals Against
1,SSC Napoli,23,17,3,3,54,38,16
2,FC Internazionale Milano,23,15,6,2,51,56,22
3,Atalanta BC,23,14,5,4,47,49,26
4,ACF Fiorentina,23,12,6,5,42,40,23
5,SS Lazio,23,13,3,7,42,40,31
6,Juventus FC,23,9,13,1,40,39,20
7,Bologna FC 1909,22,9,10,3,37,35,27
8,AC Milan,22,9,8,5,35,33,24
9,AS Roma,23,8,7,8,31,34,29
10,Udinese Calcio,23,8,5,10,29,28,36
11,Torino FC,23,6,9,8,27,24,27
12,Genoa CFC,23,6,8,9,26,21,32
13,Hellas Verona FC,23,7,2,14,23,26,48
14,US Lecce,23,6,5,12,23,18,41
15,Como 1907,23,5,7,11,22,27,38
16,Empoli FC,23,4,9,10,21,22,33
17,Cagliari Calcio,23,5,6,12,21,24,38
18,Parma Calcio 1913,23,4,8,11,20,29,42
19,Venezia FC,23,3,7,13,16,22,38
20,AC Monza,23,2,7,14,13,20,34
