Position,Team,Played Games,Won,Draw,Lost,Points,Goals For,Goals Against
1,Liverpool FC,8,7,0,1,21,17,5
2,FC Barcelona,8,6,1,1,19,28,13
3,Arsenal FC,8,6,1,1,19,16,3
4,FC Internazionale Milano,8,6,1,1,19,11,1
5,Club Atlético de Madrid,8,6,0,2,18,20,12
6,Bayer 04 Leverkusen,8,5,1,2,16,15,7
7,Lille OSC,8,5,1,2,16,17,10
8,Aston Villa FC,8,5,1,2,16,13,6
9,Atalanta BC,8,4,3,1,15,20,6
10,Borussia Dortmund,8,5,0,3,15,22,12
11,Real Madrid CF,8,5,0,3,15,20,12
12,FC Bayern München,8,5,0,3,15,20,12
13,AC Milan,8,5,0,3,15,14,11
14,PSV,8,4,2,2,14,16,12
15,Paris Saint-Germain FC,8,4,1,3,13,14,9
16,Sport Lisboa e Benfica,8,4,1,3,13,16,12
17,AS Monaco FC,8,4,1,3,13,13,13
18,Stade Brestois 29,8,4,1,3,13,10,11
19,Feyenoord Rotterdam,8,4,1,3,13,18,21
20,Juventus FC,8,3,3,2,12,9,7
21,Celtic FC,8,3,3,2,12,13,14
22,Manchester City FC,8,3,2,3,11,18,14
23,Sporting Clube de Portugal,8,3,2,3,11,13,12
24,Club Brugge KV,8,3,2,3,11,7,11
25,GNK Dinamo Zagreb,8,3,2,3,11,12,19
26,VfB Stuttgart,8,3,1,4,10,13,17
27,FK Shakhtar Donetsk,8,2,1,5,7,8,16
28,Bologna FC 1909,8,1,3,4,6,4,9
29,FK Crvena Zvezda,8,2,0,6,6,13,22
30,SK Sturm Graz,8,2,0,6,6,5,14
31,AC Sparta Praha,8,1,1,6,4,7,21
32,RB Leipzig,8,1,0,7,3,8,15
33,Girona FC,8,1,0,7,3,5,13
34,FC Red Bull Salzburg,8,1,0,7,3,5,27
35,ŠK Slovan Bratislava,8,0,0,8,0,7,27
36,BSC Young Boys,8,0,0,8,0,3,24
